feature_name,idf_weights
infra,8.313553665
informs,8.313553665
informative,8.313553665
isi,8.313553665
ismail,8.313553665
kab,8.313553665
jharkhandi,8.313553665
johan,8.313553665
jobless,8.313553665
jive,8.313553665
jitusahu,8.313553665
jinni,8.313553665
jingsaphriang,8.313553665
jingle,8.313553665
jill,8.313553665
jewish,8.313553665
iso,8.313553665
jew,8.313553665
jessicawearelive,8.313553665
jeff,8.313553665
jeewandara,8.313553665
jeet,8.313553665
jedi,8.313553665
jean,8.313553665
jazzcares,8.313553665
john,8.313553665
joined,8.313553665
jomcucukvaksin,8.313553665
jordana,8.313553665
kaali,8.313553665
kaal,8.313553665
jut,8.313553665
jusy,8.313553665
justification,8.313553665
justiceforsushantsinghrajput,8.313553665
jury,8.313553665
junior,8.313553665
jun,8.313553665
jump,8.313553665
judiciary,8.313553665
